# Number of fleets 
3 
# Catch unit for each fleet (0-Number(Million); 1-Biomass(1000mt)) 
0 0 0
0 0 0
# Start size bin of selectivity for each fleet 
1 1 1
1 1 1
# End size bin of selectivity for each fleet 
25 25 25
25 25 25
# Likelihood function of length composition data for each fleet (1-multinomial; 2-robust normal) 
1 1 1
1 1 1
# Likelihood function of total catch for each fleet 
4 4 4
4 4 4
# Likelihood function of CPUE for each fleet 
4 4 4
4 4 4
# Lambda value of composition component in objective function for each fleet 
1 1 1
1 1 1
# Lambda value of total catch in objective function for each fleet 
1 1 1
1 1 1
# Lambda value of CPUE in objective function for each fleet 
0 0 0
0 0 0
# Number of data points for catch data 
180 
# #Year, timestep, Fleet, Total Catch 
1999	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2000	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2001	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2002	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2003	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2004	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2005	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2006	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2007	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2008	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2009	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2010	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2011	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2012	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2013	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1984	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1985	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1986	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1987	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1988	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1989	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1990	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1991	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1992	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1993	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1994	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1995	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1996	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1997	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1998	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1999	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2000	1	3	20.8711	0.1	-1	1	-1	45.52	0	0	0	0	0	0	0	0	0	0	0	0.0146	0.4004	1.0948	3.8071	6.2376	5.2175	1.657	1.2289	0.6881	0.3797	0.0909	0.0544	0	0
2001	1	3	9.2534	0.1	-1	1	-1	102.66	0	0	0	0	0	0	0	0	0.0067	0	0.0067	0.0093	0.1431	0.6189	1.3488	2.7125	2.6775	1.1971	0.3896	0.1068	0.0347	0	0.0018	0	0
2002	1	3	4.5604	0.1	-1	1	-1	87.71	0	0	0	0	0	0	0	0	0	0.0102	0.02	0.2388	0.6905	1.053	0.5264	0.5796	0.5777	0.5541	0.2659	0.0444	0	0	0	0	0
2003	1	3	17.522	0.1	-1	1	-1	45.66	0	0	0	0	0	0	0	0	0.0597	0.3461	0.3415	0.2093	0.1126	0.8659	4.3913	6.4929	3.0914	0.8203	0.7192	0.0719	0	0	0	0	0
2004	1	3	6.8087	0.1	-1	1	-1	66.09	0	0	0	0	0	0	0	0	0	0.0113	0.0778	0.6504	1.9713	2.2644	1.1536	0.1983	0.2153	0.1608	0.1055	0	0	0	0	0	0
2005	1	3	32.031	0.1	-1	1	-1	59.32	0	0	0	0	0	0	0.0606	0.0094	0.017	0.0203	0.0433	0.0667	0.5864	2.5426	7.9793	11.5891	5.9551	1.7239	0.875	0.4451	0.0727	0.0444	0	0	0
2006	1	3	20.4946	0.1	-1	1	-1	80.51	0	0	0	0	0	0	0	0	0.0145	0	0.0356	0.0272	0.288	0.5944	0.7197	2.093	6.4925	7.7749	2.1787	0.2562	0.003	0.0171	0	0	0
2007	1	3	46.5673	0.1	-1	1	-1	34.36	0	0	0	0	0	0	0	0	0.0229	0.0062	0.4552	1.449	5.03	7.6056	9.9535	10.4028	4.1088	3.7263	2.8652	0.8618	0.08	0	0	0	0
2008	1	3	72.3827	0.1	-1	1	-1	43.52	0	0	0	0	0	0	0	0	0.0039	0.0097	0.2135	1.1299	4.551	12.6256	19.4752	16.2452	9.9749	5.1111	2.1158	0.7686	0.1583	0	0	0	0
2009	1	3	28.6736	0.1	-1	1	-1	62.78	0	0	0	0	0	0	0	0	0.0035	0.0066	0.0034	0.0088	0.0814	0.3139	1.5312	5.4943	10.6835	6.6584	2.9651	0.7976	0.1259	0	0	0	0
2010	1	3	88.9744	0.1	-1	1	-1	37.09	0	0	0	0	0	0	0.0258	0.0586	0.0113	0	0.0316	0.2044	0.936	1.6446	3.1037	8.842	21.0938	30.3923	18.0985	3.9088	0.6034	0.0196	0	0	0
2011	1	3	75.8391	0.1	-1	1	-1	56.7	0	0	0	0	0.0142	0.0392	0.0193	0.0894	0.0218	0.0831	0.1801	0.6709	2.2036	5.2243	10.4897	24.2722	20.1863	7.473	3.3543	1.2779	0.2177	0.0084	0.0137	0	0
2012	1	3	19.487	0.1	-1	1	-1	76.97	0	0	0	0	0	0	0	0.0086	0	0.0189	0.0993	0.4426	1.7688	5.6791	6.949	3.2013	1.059	0.2459	0.0046	0.0067	0.0031	0	0	0	0
2013	1	3	1.2406	0.1	-1	1	-1	103	0	0	0	0	0	0	0	0	0	0	0	0.0139	0.0259	0.139	0.296	0.356	0.2641	0.1171	0.0285	0	0	0	0	0	0
1984	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1985	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1986	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1987	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1988	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1989	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1990	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1991	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1992	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1993	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1994	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1995	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1996	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1997	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1998	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1999	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2000	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2001	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2002	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2003	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2004	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2005	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2006	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2007	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2008	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2009	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2010	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2011	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2012	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2013	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
# Use CPUE? (0-no; 1-yes) 
0 0 0
0 0 0
# Number of CPUE catchability  (Number of time blocks) 
1 
# Option for CPUE catchability calculation method 
1 
# CPUE catchability time blocks set-up 
1984 1 1 1
1985 1 1 1
1986 1 1 1
1987 1 1 1
1988 1 1 1
1989 1 1 1
1990 1 1 1
1991 1 1 1
1992 1 1 1
1993 1 1 1
1994 1 1 1
1995 1 1 1
1996 1 1 1
1997 1 1 1
1998 1 1 1
1999 1 1 1
2000 1 1 1
2001 1 1 1
2002 1 1 1
2003 1 1 1
2004 1 1 1
2005 1 1 1
2006 1 1 1
2007 1 1 1
2008 1 1 1
2009 1 1 1
2010 1 1 1
2011 1 1 1
2012 1 1 1
2013 1 1 1
1984 1 1 1
1985 1 1 1
1986 1 1 1
1987 1 1 1
1988 1 1 1
1989 1 1 1
1990 1 1 1
1991 1 1 1
1992 1 1 1
1993 1 1 1
1994 1 1 1
1995 1 1 1
1996 1 1 1
1997 1 1 1
1998 1 1 1
1999 1 1 1
2000 1 1 1
2001 1 1 1
2002 1 1 1
2003 1 1 1
2004 1 1 1
2005 1 1 1
2006 1 1 1
2007 1 1 1
2008 1 1 1
2009 1 1 1
2010 1 1 1
2011 1 1 1
2012 1 1 1
2013 1 1 1
# Number of fleet selectivity time blocks 
3 
# Fleet selectivity option for each fleet 
2 2 2
# Fleet selectivity time blocks set-up 
1984 1 2 3
1985 1 2 3
1986 1 2 3
1987 1 2 3
1988 1 2 3
1989 1 2 3
1990 1 2 3
1991 1 2 3
1992 1 2 3
1993 1 2 3
1994 1 2 3
1995 1 2 3
1996 1 2 3
1997 1 2 3
1998 1 2 3
1999 1 2 3
2000 1 2 3
2001 1 2 3
2002 1 2 3
2003 1 2 3
2004 1 2 3
2005 1 2 3
2006 1 2 3
2007 1 2 3
2008 1 2 3
2009 1 2 3
2010 1 2 3
2011 1 2 3
2012 1 2 3
2013 1 2 3
1984 1 2 3
1985 1 2 3
1986 1 2 3
1987 1 2 3
1988 1 2 3
1989 1 2 3
1990 1 2 3
1991 1 2 3
1992 1 2 3
1993 1 2 3
1994 1 2 3
1995 1 2 3
1996 1 2 3
1997 1 2 3
1998 1 2 3
1999 1 2 3
2000 1 2 3
2001 1 2 3
2002 1 2 3
2003 1 2 3
2004 1 2 3
2005 1 2 3
2006 1 2 3
2007 1 2 3
2008 1 2 3
2009 1 2 3
2010 1 2 3
2011 1 2 3
2012 1 2 3
2013 1 2 3
# Check Number 
-22122 
